Transaction_ID,User_ID,Device_OS,Payment_Method,Transaction_Amount,Last_Step_Reached,Error_Code,Processing_Time_Sec
1046,7747,Web,Credit Card,179.95,3,Insufficient_Funds,6.867617619349642
1047,5975,Web,Credit Card,488.81,4,Biometric_Fail,2.3296040387718167
1048,6806,Android,Debit Card,194.68,3,Biometric_Fail,1.1335360951631936
1049,5189,iOS,Credit Card,392.66,2,Biometric_Fail,1.906485814537953
1050,8005,iOS,Digital Wallet,126.56,4,None,7.613575905335362
1051,7734,iOS,ACH,169.53,4,Insufficient_Funds,7.134530793658024
1052,8005,iOS,ACH,361.91,3,Timeout,2.5575231194810932
1053,5562,Web,Credit Card,33.23,3,Insufficient_Funds,5.128650949630242
1054,6899,iOS,Credit Card,51.42,2,Biometric_Fail,3.3773473102673455
1055,8638,Web,Debit Card,137.05,3,Timeout,2.942761647150225
1056,6267,Android,Credit Card,129.14,3,Biometric_Fail,2.6050585344166692
1057,7879,iOS,Digital Wallet,37.69,2,None,5.587030386438549
1058,6528,Android,ACH,486.08,4,Insufficient_Funds,1.3317317309290206
1059,8202,Android,Debit Card,150.29,2,None,7.123632423363594
1060,8556,Android,Debit Card,362.65,4,Invalid_CVV,0.5561488073078421
1061,8890,Android,Debit Card,199.55,4,None,3.3841625417400167
1062,5646,iOS,Credit Card,495.53,4,None,4.577956200308688
1063,7068,Android,Credit Card,74.48,4,Timeout,1.4004169127840331
1064,7888,Android,Credit Card,190.28,1,Biometric_Fail,5.222987372714886
1065,7214,Android,Debit Card,218.69,4,Timeout,7.160398249575352
1066,6297,Web,Debit Card,360.07,2,Invalid_CVV,8.650257347633866
1067,7435,iOS,ACH,250.52,3,Biometric_Fail,5.383273448521885
1068,5600,iOS,ACH,376.41,3,None,9.143928698223638
1069,7363,Android,Credit Card,421.41,4,Insufficient_Funds,6.7373597307365385
1070,7061,Web,Credit Card,148.16,4,Insufficient_Funds,6.307337320381378
1071,5241,Android,ACH,402.94,2,Timeout,8.094842372299823
1072,7041,iOS,Digital Wallet,248.31,4,Insufficient_Funds,7.227350654898833
1073,7824,iOS,ACH,42.89,3,Invalid_CVV,6.092952673210889
1074,8417,iOS,Credit Card,152.03,2,Insufficient_Funds,7.717527474917943
1075,7612,iOS,Credit Card,402.44,4,Invalid_CVV,1.4377476745792817
1076,7945,Android,Credit Card,197.51,4,Insufficient_Funds,6.4879794701828315
1077,6363,Android,Credit Card,51.17,2,Biometric_Fail,7.339534569514467
1078,7139,iOS,ACH,320.98,4,None,0.8450333188879462
1079,6390,iOS,Credit Card,425.9,3,Invalid_CVV,8.146104324549707
1080,8003,iOS,Credit Card,70.76,2,Biometric_Fail,4.644580763375834
1081,6478,Web,ACH,273.79,1,Timeout,9.199693593085867
1082,8499,Android,Digital Wallet,107.84,3,Biometric_Fail,2.417547423723317
1083,7556,Web,ACH,172.19,4,Timeout,5.993879170644865
1084,5775,Android,Credit Card,209.89,3,Biometric_Fail,3.0960053969228905
1085,5034,iOS,Credit Card,7.58,2,Timeout,1.6393696552735753
1086,7253,iOS,Debit Card,181.08,3,Biometric_Fail,6.618836239269524
1087,8152,Android,Credit Card,158.16,2,Insufficient_Funds,1.177893904705491
1088,6955,Android,Digital Wallet,335.84,4,Timeout,8.748387578305394
1089,6585,Android,Credit Card,440.65,2,Timeout,5.380729134504045
1090,8943,Android,ACH,57.1,3,Biometric_Fail,5.884107282844139
1091,8459,Android,Credit Card,244.0,1,None,5.728776558878281
1092,8073,iOS,Credit Card,141.96,4,None,8.065376302476226
1093,6021,Web,Debit Card,493.82,3,None,1.158560196564272
1094,8461,Android,Credit Card,391.27,2,None,9.177377786420346
1095,7613,iOS,Credit Card,63.34,4,Biometric_Fail,2.0963854367497783
1096,6129,Android,ACH,187.57,4,Timeout,1.07889597034415
1097,8843,Android,Digital Wallet,60.03,4,None,4.47487241306373
1098,8893,iOS,Debit Card,394.58,4,Insufficient_Funds,6.872180125134703
1099,6500,Android,Digital Wallet,246.11,2,Biometric_Fail,3.4538654098317205
1100,5702,iOS,Digital Wallet,325.41,4,Invalid_CVV,1.155342834121904
1101,7449,iOS,Credit Card,289.56,4,Timeout,4.35939492791424
1102,7777,iOS,Debit Card,95.39,4,Biometric_Fail,2.678286987153933
1103,6579,iOS,Credit Card,11.43,3,Biometric_Fail,6.545013728868567
1104,5161,iOS,Credit Card,435.76,4,Invalid_CVV,1.4666692288138135
1105,5201,iOS,ACH,50.71,1,Biometric_Fail,5.680576822375086
1106,6981,Web,Credit Card,396.77,4,Timeout,3.8032575958031614
1107,5995,iOS,Debit Card,99.78,4,None,3.749077318107358
1108,7317,Android,Debit Card,427.12,4,Biometric_Fail,6.164513374899493
1109,8934,iOS,Credit Card,298.9,2,Timeout,0.9625246782446433
1110,5815,Android,Debit Card,202.59,1,Invalid_CVV,3.3766915752724027
1111,8342,iOS,Digital Wallet,330.88,3,Timeout,6.251265593032901
1112,5455,iOS,Digital Wallet,140.51,3,Insufficient_Funds,7.213806764050119
1113,8533,iOS,Digital Wallet,212.21,4,Biometric_Fail,4.9809247653279645
1114,8798,Web,ACH,412.76,3,None,9.956936346752686
1115,6275,Android,Digital Wallet,9.43,2,Insufficient_Funds,7.184382162152034
1116,6016,iOS,Digital Wallet,120.81,4,Timeout,9.729496649770592
1117,8773,iOS,Debit Card,371.94,4,Biometric_Fail,7.11545776345172
1118,7343,iOS,Debit Card,361.13,3,Insufficient_Funds,7.876113004449776
1119,8796,iOS,Digital Wallet,86.01,4,None,7.702676289584726
1120,7767,Android,Credit Card,491.58,4,Biometric_Fail,5.854919971389563
1121,8820,Android,Debit Card,339.86,4,None,8.369536141232913
1122,5337,Android,ACH,188.83,4,None,5.461672227983004
1123,5878,iOS,Debit Card,178.69,2,Timeout,1.3828598488367148
1124,6076,Android,ACH,263.73,4,Insufficient_Funds,2.2895706874480677
1125,5791,iOS,Digital Wallet,22.88,3,None,2.3888429012068366
1126,8993,iOS,Digital Wallet,358.7,2,None,7.925936401477522
1127,7264,Android,ACH,38.86,4,None,3.910513463801029
1128,5763,iOS,ACH,328.24,1,Timeout,1.6142819307444425
1129,7235,Android,ACH,401.87,2,Invalid_CVV,1.1922487249717566
1130,5379,Web,Debit Card,453.11,4,Timeout,5.754332196028786
1131,5492,iOS,Digital Wallet,78.08,4,None,8.828650218729472
1132,8112,Web,Debit Card,374.0,3,Timeout,8.75562624030057
1133,6180,iOS,Credit Card,491.73,2,None,3.141774426084551
1134,7062,iOS,ACH,38.56,3,Timeout,5.349244933117914
1135,8884,Android,Credit Card,18.97,4,Biometric_Fail,9.349779753196172
1136,5064,Android,ACH,110.15,4,Insufficient_Funds,1.603039692094225
1137,8928,iOS,ACH,106.49,3,Biometric_Fail,6.39878956933265
1138,8910,Android,Digital Wallet,163.14,4,Insufficient_Funds,3.9256352367833296
1139,7568,Web,ACH,462.16,4,Invalid_CVV,1.3112513180228191
1140,6367,iOS,Debit Card,343.12,3,Insufficient_Funds,3.3975523763587363
1141,6152,Web,ACH,10.3,4,None,4.967186104486753
1142,7027,Android,ACH,250.2,1,Timeout,8.523648426557708
1143,7695,Web,Credit Card,438.48,3,None,4.303949911137768
1144,6495,iOS,Digital Wallet,269.5,4,Insufficient_Funds,6.228551291378132
1145,8134,Android,Digital Wallet,101.14,3,Biometric_Fail,6.7362495968584355
1146,6162,iOS,ACH,477.21,1,Insufficient_Funds,7.1727408263837376
1147,6522,Web,Credit Card,157.14,2,Biometric_Fail,3.9863516579694256
1148,7640,Android,Debit Card,178.29,4,Timeout,7.935193115460367
1149,5391,iOS,Debit Card,181.37,4,Insufficient_Funds,2.1749906833923838
1150,6698,iOS,ACH,200.39,4,Invalid_CVV,8.471637906619005
1151,5418,Web,ACH,355.84,3,Biometric_Fail,3.8983878254794555
1152,7336,Android,Credit Card,160.7,2,Insufficient_Funds,7.187913973352775
1153,5378,iOS,Digital Wallet,235.2,4,Timeout,9.10797978287036
1154,6796,Android,Credit Card,135.43,4,Biometric_Fail,3.8480692461733907
1155,8561,Web,Debit Card,256.42,4,Invalid_CVV,7.6928614952349745
1156,7278,iOS,ACH,473.94,3,Biometric_Fail,9.596634335368934
1157,8065,iOS,ACH,148.35,4,Invalid_CVV,0.9343863569865971
1158,7088,Web,Credit Card,409.13,2,Invalid_CVV,7.57748799500107
1159,8099,iOS,Digital Wallet,113.39,1,Insufficient_Funds,8.086181307125297
1160,7182,iOS,Credit Card,76.62,2,None,5.056360570529243
1161,5200,iOS,Digital Wallet,50.11,4,Insufficient_Funds,5.826720461371324
1162,6863,Web,Digital Wallet,490.03,4,Timeout,0.8464438593379746
1163,5779,iOS,Debit Card,287.36,3,None,6.650743979748932
1164,7977,Android,Digital Wallet,259.56,4,Timeout,1.9174101335919498
1165,8104,Web,Debit Card,8.56,3,Insufficient_Funds,9.96863813252102
1166,8119,iOS,ACH,244.72,4,Biometric_Fail,5.495370244940274
1167,5502,Web,Credit Card,333.04,4,Biometric_Fail,2.9557455645158717
1168,7454,Android,Debit Card,207.92,2,None,5.074220825702715
1169,8645,Android,Credit Card,68.81,2,Insufficient_Funds,4.549005022478281
1170,6751,iOS,Debit Card,137.51,4,Insufficient_Funds,3.912332157573034
1171,5804,Android,ACH,358.49,4,None,3.5479244346276992
1172,7146,iOS,Debit Card,240.29,3,Insufficient_Funds,1.4501970078038908
1173,7731,iOS,Debit Card,242.26,2,Insufficient_Funds,3.0349648647595666
1174,6895,Web,Credit Card,24.01,1,None,1.0533639313382106
1175,7773,iOS,Debit Card,267.01,4,Insufficient_Funds,1.757013545212539
1176,6570,Web,Credit Card,215.24,2,Biometric_Fail,5.17739769234814
1177,5960,iOS,ACH,440.41,4,Biometric_Fail,5.474106575902659
1178,8810,iOS,ACH,193.52,1,Invalid_CVV,6.265046710973054
1179,7660,Web,Debit Card,306.57,4,None,4.392738198784037
1180,6485,iOS,Digital Wallet,468.27,3,Timeout,1.3769526443168858
1181,7690,Web,ACH,285.28,4,Timeout,4.700552685156117
1182,8840,Android,Digital Wallet,19.74,4,Insufficient_Funds,3.1176074784759025
1183,6028,iOS,Digital Wallet,55.29,4,Insufficient_Funds,6.511393423135639
1184,8289,Android,Credit Card,483.59,2,Insufficient_Funds,4.41313513415442
1185,5502,iOS,Digital Wallet,278.29,2,Timeout,7.7825030865012055
1186,7814,iOS,Digital Wallet,98.7,4,None,3.184400346592129
1187,5397,Android,Digital Wallet,286.04,2,None,4.246254897776864
1188,5870,iOS,Credit Card,478.91,4,Biometric_Fail,6.819864319852155
1189,7842,iOS,Debit Card,27.19,1,Insufficient_Funds,2.533877773992504
1190,5392,Web,Digital Wallet,265.92,4,Biometric_Fail,1.1983300942654136
1191,5206,Web,ACH,72.39,2,Biometric_Fail,6.609009995614229
1192,6038,Android,Credit Card,226.14,4,Timeout,5.174474079043582
1193,6881,Android,Digital Wallet,329.01,4,Timeout,0.9454250848260695
1194,8625,Android,Digital Wallet,232.29,2,None,4.656333004397676
1195,7939,Android,Credit Card,481.59,2,Invalid_CVV,2.835044503220962
1196,6484,Android,Credit Card,294.37,4,Invalid_CVV,2.3348097568095163
1197,8762,Web,Credit Card,481.98,1,Biometric_Fail,4.23454796415599
1198,8646,iOS,Digital Wallet,160.62,4,None,5.677461714502941
1199,5863,Android,Credit Card,15.45,4,Timeout,9.584540941140455
1200,7790,Web,Digital Wallet,81.51,4,None,3.4826282213453252
1201,8312,Android,ACH,40.43,3,Biometric_Fail,4.331448088138202
1202,5563,Web,Digital Wallet,370.79,3,Insufficient_Funds,1.6305424762466767
1203,6020,iOS,Debit Card,98.98,2,Biometric_Fail,7.893484178490442
1204,5095,iOS,Digital Wallet,379.75,4,Insufficient_Funds,6.00351022326895
1205,6923,Web,Digital Wallet,271.09,1,Invalid_CVV,2.48094361037434
1206,6757,iOS,Digital Wallet,112.31,4,None,7.206812925050663
1207,7532,Android,Debit Card,308.65,2,Invalid_CVV,2.6430079158734037
1208,8478,iOS,Credit Card,10.67,4,Timeout,2.8768521676153385
1209,7278,Android,Digital Wallet,170.69,4,Timeout,3.3717749439579117
1210,7796,Android,ACH,393.41,3,Biometric_Fail,6.258146931401188
1211,6678,iOS,ACH,375.86,3,Invalid_CVV,1.7783353261264563
1212,8242,Android,Credit Card,396.39,2,Timeout,8.395819322020694
1213,5540,Android,ACH,295.83,4,Invalid_CVV,5.368315275578774
1214,6059,iOS,Debit Card,288.78,4,Biometric_Fail,6.879244484911965
1215,7572,Android,Credit Card,206.65,4,Invalid_CVV,3.883651862580125
1216,6183,Android,Credit Card,474.53,4,Timeout,7.907041261538774
1217,8910,iOS,Debit Card,475.0,4,Timeout,7.139471364688299
1218,6722,Android,Debit Card,9.3,4,Biometric_Fail,7.762261183722996
1219,8314,iOS,ACH,481.3,2,Invalid_CVV,6.334892979924508
1220,8157,iOS,ACH,435.92,3,None,5.436626130962927
1221,6819,Android,Debit Card,304.97,3,Biometric_Fail,7.95149829578124
1222,7625,Android,ACH,165.64,4,Timeout,7.906199545248178
1223,7729,Web,Digital Wallet,213.27,3,Invalid_CVV,5.72023282815787
1224,7604,iOS,Debit Card,424.86,3,Biometric_Fail,2.89937252100552
1225,6597,iOS,ACH,78.1,3,Timeout,1.6714255562158722
1226,8060,iOS,ACH,312.3,4,Invalid_CVV,0.8486189650789013
1227,7693,Android,Credit Card,119.28,4,None,8.643400584034884
1228,5795,Android,Credit Card,192.2,3,Biometric_Fail,3.7050272554385977
1229,6051,Android,Digital Wallet,7.47,4,None,7.7747828403895625
1230,6643,iOS,Debit Card,484.85,2,Timeout,2.0459063769436656
1231,8627,Web,Digital Wallet,58.76,4,Timeout,3.0010899970017384
1232,6363,Android,Debit Card,382.92,4,None,2.7357776715159057
1233,8869,Web,Debit Card,283.0,2,Timeout,3.106851894252241
1234,6981,iOS,ACH,414.87,4,Invalid_CVV,5.908270996223474
1235,6354,Android,Credit Card,260.26,3,Biometric_Fail,2.551861331972872
1236,6663,Android,Credit Card,492.27,4,Insufficient_Funds,2.542724521662305
1237,6529,Android,Debit Card,305.47,2,Biometric_Fail,2.093587783468581
1238,7038,iOS,ACH,310.12,2,Invalid_CVV,1.519655434244777
1239,8419,Web,Debit Card,460.79,3,Invalid_CVV,2.6065889285217736
1240,6496,iOS,Credit Card,132.72,4,Biometric_Fail,7.246209413535453
1241,8302,iOS,Digital Wallet,184.62,4,Insufficient_Funds,8.705980549789714
1242,7237,Android,Credit Card,334.17,4,None,7.061227106117356
1243,8296,Android,Digital Wallet,74.85,3,Biometric_Fail,6.670746972623238
1244,6408,Android,Credit Card,405.76,4,Biometric_Fail,3.2091505274332635
1245,6400,iOS,Credit Card,297.97,3,Invalid_CVV,5.732416684530453
1246,6306,Android,Debit Card,378.7,4,Invalid_CVV,1.529143328445547
1247,7680,Android,Digital Wallet,495.18,4,Insufficient_Funds,3.516587857067407
1248,7675,iOS,Digital Wallet,488.55,4,Insufficient_Funds,8.330331403729339
1249,5972,Web,Debit Card,226.58,2,Timeout,1.2551434768791052
1250,6768,Web,Debit Card,144.15,4,Invalid_CVV,1.5054601872533722
1251,6282,Android,ACH,318.98,2,None,3.93508822422406
1252,8430,iOS,Digital Wallet,357.12,4,Biometric_Fail,5.0946762149380636
1253,5709,Web,Credit Card,150.89,4,None,5.441023757519626
1254,6479,iOS,Debit Card,144.28,4,Invalid_CVV,5.700976951781303
1255,6434,iOS,Digital Wallet,111.41,4,Biometric_Fail,9.849285849336875
1256,5648,iOS,Debit Card,455.17,2,Biometric_Fail,7.092436769153766
1257,5317,iOS,Digital Wallet,55.31,4,Biometric_Fail,7.831301912533078
1258,8748,Web,Credit Card,126.97,4,Invalid_CVV,1.575630703310823
1259,8296,Android,Debit Card,314.08,3,Biometric_Fail,1.5626231294286108
1260,8890,Web,ACH,236.45,4,Insufficient_Funds,8.975225696921246
1261,6257,iOS,Credit Card,64.75,4,None,5.902270024859558
1262,5683,Android,Debit Card,148.31,3,Biometric_Fail,4.916341779273084
1263,5663,Web,ACH,207.03,4,Timeout,1.4204773757951608
1264,6998,Web,Debit Card,479.55,3,Biometric_Fail,7.054245152784193
1265,8898,Android,Credit Card,200.89,1,Invalid_CVV,1.3986583939173032
1266,8445,iOS,Credit Card,62.33,2,Invalid_CVV,2.4621158484690278
1267,8743,Android,Credit Card,486.32,4,Insufficient_Funds,7.786463671467194
1268,6631,iOS,ACH,219.84,4,Biometric_Fail,5.431030438239786
1269,6495,Android,Digital Wallet,74.15,1,Timeout,5.514018061414451
1270,8304,Android,Credit Card,307.48,2,Insufficient_Funds,6.634649063530382
1271,8763,Android,Credit Card,405.23,4,Biometric_Fail,8.119288006410335
1272,6136,Android,Digital Wallet,356.71,2,None,0.6338316793045116
1273,6853,Android,ACH,159.21,4,Insufficient_Funds,5.478609201225418
1274,6520,iOS,ACH,123.29,1,Insufficient_Funds,8.696331110032316
1275,7489,Android,Digital Wallet,442.03,2,None,6.463108457646244
1276,5563,Android,Credit Card,100.97,4,Insufficient_Funds,5.387101042960057
1277,6291,iOS,ACH,379.61,4,Invalid_CVV,5.416075025492215
1278,8581,iOS,Digital Wallet,16.38,3,Biometric_Fail,1.3151659890804206
1279,8878,iOS,ACH,212.69,4,None,5.683245418828666
1280,8457,Android,Debit Card,492.54,4,None,7.83846223416458
1281,8458,Web,Debit Card,318.76,1,None,1.7589377491601876
1282,8184,iOS,Digital Wallet,158.78,4,Biometric_Fail,9.40360750871168
1283,6636,Android,Credit Card,351.38,1,Insufficient_Funds,4.677458468963866
1284,8696,Android,Debit Card,179.9,2,Biometric_Fail,0.5452511127546102
1285,7999,iOS,Credit Card,469.72,4,Biometric_Fail,3.2356750089411532
1286,8152,Web,ACH,121.29,4,Timeout,1.9131984677791944
1287,5698,iOS,Digital Wallet,163.39,4,None,5.344555414834722
1288,7160,Web,Debit Card,345.93,4,None,7.8073927638214435
1289,5001,iOS,Digital Wallet,398.67,4,Insufficient_Funds,2.8406164813535333
1290,5641,iOS,Digital Wallet,290.35,4,None,5.999856404530062
1291,7267,iOS,Digital Wallet,148.19,4,Insufficient_Funds,8.312410280250658
1292,6589,iOS,Digital Wallet,288.68,1,None,7.336719102217133
1293,5854,Web,Digital Wallet,113.48,4,None,5.644106100011226
1294,6759,iOS,ACH,33.43,3,Timeout,7.2965739995415735
1295,8296,Android,Debit Card,460.23,3,Biometric_Fail,7.151732991617345
1296,7432,iOS,Digital Wallet,243.16,4,None,3.9341338843023315
1297,8474,Web,Debit Card,242.73,4,Invalid_CVV,4.624788540335357
1298,6661,Android,Debit Card,373.67,4,Timeout,3.866260635632035
1299,6153,Android,ACH,282.22,4,None,8.382100211724566
1300,6076,iOS,Debit Card,229.87,4,Insufficient_Funds,5.562789031825894
1301,6707,Android,Debit Card,398.33,4,None,6.121251621670643
1302,7777,iOS,Debit Card,240.14,3,Timeout,8.165795249098347
1303,6695,iOS,ACH,456.8,3,Timeout,9.65800956090759
1304,6733,Android,Credit Card,156.59,3,Biometric_Fail,4.055137556191331
1305,6439,Web,Debit Card,21.63,4,Invalid_CVV,9.178139396297224
1306,7294,Web,Debit Card,78.85,4,Insufficient_Funds,2.6848284230521378
1307,5835,Android,Debit Card,410.49,2,Invalid_CVV,0.558475698598642
1308,8510,Android,Credit Card,463.47,3,Biometric_Fail,2.4784396261692656
1309,5202,Web,Credit Card,42.17,4,Invalid_CVV,7.946789235104371
1310,8255,Android,ACH,454.81,4,Biometric_Fail,9.569271491063436
1311,5122,Android,Digital Wallet,472.12,2,Biometric_Fail,5.779590906055066
1312,5400,Web,Debit Card,378.39,4,Biometric_Fail,4.70394926092853
1313,5766,iOS,Digital Wallet,381.74,4,Insufficient_Funds,9.959038706408618
1314,5293,iOS,Credit Card,5.76,4,Biometric_Fail,8.626990260060253
1315,7327,Android,Digital Wallet,115.24,4,None,6.190556805888102
1316,8908,iOS,ACH,111.24,2,Biometric_Fail,6.374626077878673
1317,7931,iOS,Credit Card,292.84,4,Biometric_Fail,3.022464863869594
1318,8681,Android,Debit Card,330.18,2,None,5.381287512456913
1319,5197,Android,Digital Wallet,451.33,3,Biometric_Fail,9.794674827093624
1320,8029,Web,Credit Card,246.56,3,Insufficient_Funds,1.2597018568893146
1321,6930,iOS,Credit Card,253.01,4,Timeout,8.49101718728354
1322,8582,iOS,Digital Wallet,31.86,2,Biometric_Fail,1.9296935656840462
1323,7799,iOS,Digital Wallet,498.73,4,Invalid_CVV,4.566446495566578
1324,7191,Android,Digital Wallet,473.07,3,Biometric_Fail,2.0431326202804683
1325,5608,Android,Credit Card,40.63,1,Insufficient_Funds,3.271961903488188
1326,8272,Android,Debit Card,281.06,4,Invalid_CVV,8.539567903084523
1327,6147,iOS,Credit Card,177.18,4,Biometric_Fail,4.779865058856129
1328,5186,Android,Debit Card,217.03,4,Biometric_Fail,2.011671295670532
1329,8397,Android,Digital Wallet,327.58,4,Insufficient_Funds,2.802101892040071
1330,7511,iOS,Digital Wallet,212.76,3,Timeout,4.109393444509525
1331,8420,Android,ACH,250.31,2,Invalid_CVV,3.4220607456215353
1332,6794,Android,Debit Card,140.17,4,Biometric_Fail,2.164624224241944
1333,5659,Web,Digital Wallet,45.78,1,Invalid_CVV,9.720349877252364
1334,7811,Web,Debit Card,378.81,4,Invalid_CVV,4.235770416977932
1335,8002,Android,Debit Card,192.3,3,Biometric_Fail,3.610609614246635
1336,6955,Web,Debit Card,443.87,4,Insufficient_Funds,8.745572341117459
1337,7450,Android,Debit Card,472.77,3,Biometric_Fail,7.6301548441288265
1338,6369,Web,Credit Card,48.73,4,Insufficient_Funds,3.667486603925083
1339,6986,iOS,ACH,343.76,3,Biometric_Fail,3.9139274884695934
1340,6534,Android,Debit Card,410.96,3,Biometric_Fail,7.872051213124115
1341,5146,Android,Debit Card,325.28,3,Biometric_Fail,2.715101990091984
1342,8219,Android,ACH,167.7,4,Biometric_Fail,4.990810352279422
1343,7911,iOS,Digital Wallet,145.84,2,Invalid_CVV,1.0407911765602447
1344,6734,iOS,Debit Card,233.81,3,None,1.5575201858172927
1345,6843,iOS,Digital Wallet,133.19,3,None,7.752303005221477
1346,5488,iOS,Credit Card,448.39,1,Insufficient_Funds,2.7399989563954525
1347,7976,iOS,ACH,29.27,4,Timeout,1.9772425005983578
1348,6959,Android,Credit Card,60.77,4,None,9.472740812045972
1349,6663,Web,Digital Wallet,305.22,2,Invalid_CVV,7.05575147539641
1350,7598,Android,ACH,330.88,3,Biometric_Fail,8.823443999733579
1351,7385,Web,Credit Card,369.34,4,Biometric_Fail,1.6219802356913509
1352,7919,Web,Digital Wallet,141.42,4,Timeout,4.583687709348918
1353,5640,Android,Digital Wallet,150.74,4,Timeout,6.899776414091329
1354,6802,iOS,ACH,209.76,4,Invalid_CVV,8.442138819858009
1355,7520,iOS,ACH,121.07,2,Timeout,5.596326339081554
1356,6969,Web,Digital Wallet,191.73,4,Timeout,9.747696445491147
1357,7198,iOS,Digital Wallet,349.97,3,None,4.879940376801882
1358,6438,Android,Credit Card,251.81,3,Biometric_Fail,1.4018248664093704
1359,8369,iOS,Credit Card,483.47,4,Biometric_Fail,9.160967528534579
1360,6634,Web,Digital Wallet,291.9,3,None,6.836093055783331
1361,5262,Android,Debit Card,167.66,4,Insufficient_Funds,9.382093223748708
1362,6787,Web,ACH,94.99,3,Insufficient_Funds,3.7898244951012448
1363,7191,iOS,ACH,113.83,4,Biometric_Fail,9.69136620621316
1364,7393,iOS,ACH,12.95,2,Invalid_CVV,2.3354910758926812
1365,5623,Android,Digital Wallet,223.86,4,Invalid_CVV,7.744829127698567
1366,6016,Web,Credit Card,480.21,4,Insufficient_Funds,1.8496987496398622
1367,8643,Android,Credit Card,389.77,4,Biometric_Fail,1.7056235715487789
1368,5880,Web,ACH,153.84,4,Invalid_CVV,0.5890046174470515
1369,7049,Android,Debit Card,400.39,3,Biometric_Fail,9.932961706684662
1370,7944,Android,ACH,466.22,2,Biometric_Fail,9.353213510445995
1371,6327,Android,ACH,337.98,4,Invalid_CVV,4.449734361077859
1372,7301,iOS,ACH,258.34,3,Invalid_CVV,5.103493098655337
1373,8723,iOS,Debit Card,72.25,4,Invalid_CVV,9.362078633666044
1374,5452,Web,ACH,44.43,2,Timeout,8.654732081014028
1375,8108,Web,Credit Card,113.37,4,Biometric_Fail,9.420536377899065
1376,6183,Android,Debit Card,333.35,4,Insufficient_Funds,8.259235804621822
